UID,NAME_0,NAME_1,NAME_2,lon,lat
2433,United States,Washington,Whatcom,-121.7188603796734,48.82556875615396
2434,United States,Idaho,Boundary,-116.46312581505077,48.76693891293511
2435,United States,Montana,Phillips,-107.91460310511067,48.256168112096944
2436,United States,North Dakota,Bottineau,-100.83411168119231,48.791684511318216
2437,United States,Montana,Lincoln,-115.40560403343409,48.54039763064947
2438,United States,Montana,Blaine,-108.96036971796161,48.43050023865184
2439,United States,Montana,Daniels,-105.54860674879684,48.784603180444186
2440,United States,North Dakota,Cavalier,-98.46721691303378,48.77158743152778
2441,United States,Washington,Okanogan,-119.73897152704967,48.54711076176603
2442,United States,Washington,Stevens,-117.85474205652099,48.395861036531244
2443,United States,North Dakota,Divide,-103.4881329974856,48.814889741124766
2444,United States,North Dakota,Burke,-102.51930885982068,48.79147692986107
2445,United States,Washington,Ferry,-118.5156472191651,48.46723813029125
2446,United States,Montana,Flathead,-114.04945939765322,48.292999236770584
2447,United States,Montana,Glacier,-112.99609901376708,48.70491809322295
2448,United States,Washington,Pend Oreille,-117.2750159170855,48.53175238967853
2449,United States,Montana,Sheridan,-104.5044363304545,48.7213458206135
2450,United States,Montana,Hill,-110.11002602558884,48.62739965463128
2451,United States,North Dakota,Rolette,-99.84207407003957,48.771380213373746
2452,United States,North Dakota,Renville,-101.65935115463706,48.71832091007285
2453,United States,Montana,Toole,-111.69521077266977,48.65460954684052
2454,United States,North Dakota,Towner,-99.24787262729339,48.68461091744169
2455,United States,Montana,Valley,-106.66751014880086,48.36255852956594
2456,United States,Montana,Liberty,-111.02290613873929,48.563051561845406
2472,United States,Idaho,Bonner,-116.60149658813357,48.29911546866182
2479,United States,North Dakota,Ward,-101.53986964503216,48.219668858703464
2496,United States,North Dakota,Williams,-103.48072778620755,48.34304104941023
2497,United States,North Dakota,McHenry,-100.63596442409451,48.23252083016276
2502,United States,Washington,Skagit,-121.72764951775054,48.47918974315822
2506,United States,Montana,Roosevelt,-105.01589919802592,48.29499713060117
2509,United States,Washington,Chelan,-120.61700070126027,47.86721498210529
2510,United States,North Dakota,Mountrail,-102.35599687234293,48.201113110534514
2511,United States,North Dakota,Pierce,-99.97269305547529,48.24788440816013
2512,United States,North Dakota,Ramsey,-98.72183410463819,48.267940066193574
2515,United States,Montana,Pondera,-112.22796628750169,48.226905450503615
2524,United States,Washington,San Juan,-122.96349850026202,48.57857152382607
2527,United States,North Dakota,Benson,-99.36643184399874,48.06816850415295
2530,United States,Montana,Chouteau,-110.43692570810687,47.879852720820104
2531,United States,Washington,Island,-122.54737417400808,48.16289949561163
2532,United States,Montana,Sanders,-115.13071809185551,47.6724745767585
2533,United States,Montana,Richland,-104.55946516762181,47.78773375270211
2534,United States,Washington,Douglas,-119.6941336814437,47.73503706897673
2535,United States,North Dakota,McKenzie,-103.39638375992263,47.740126395620564
2536,United States,Montana,Teton,-112.2412214287653,47.83591202992134
2537,United States,Montana,McCone,-105.79514672157183,47.64410226454432
2538,United States,Idaho,Shoshone,-115.88694635074668,47.34788682186741
2539,United States,Montana,Lake,-114.08945064246224,47.64439598364451
2540,United States,Washington,Spokane,-117.40443448130907,47.62006750042282
2541,United States,Washington,Snohomish,-121.69592451864675,48.0469626934648
2542,United States,Idaho,Kootenai,-116.69967332833458,47.67358955676037
2543,United States,Montana,Garfield,-106.99288699472834,47.27572613908697
2544,United States,Washington,Grant,-119.45216334094945,47.20456690914116
2545,United States,Washington,Lincoln,-118.41838208747821,47.574756329047766
2546,United States,Montana,Lewis and Clark,-112.3878905860058,47.12088009806881
2547,United States,Washington,Clallam,-123.931166920186,48.04829414733039
2548,United States,North Dakota,McLean,-101.32156118811763,47.60628649849974
2549,United States,North Dakota,Eddy,-98.90326870789607,47.71782349564803
2550,United States,North Dakota,Wells,-99.66164182225334,47.58721178163921
2551,United States,North Dakota,Sheridan,-100.34593202186514,47.574520434038696
2552,United States,North Dakota,Dunn,-102.61944132151879,47.35710431070757
2553,United States,Montana,Fergus,-109.22234353514303,47.261827173818276
2554,United States,Montana,Dawson,-104.89718297474722,47.26499564149032
2555,United States,Washington,King,-121.80364594054706,47.48966176023491
2556,United States,Montana,Cascade,-111.34520325011562,47.306918442072735
2557,United States,North Dakota,Griggs,-98.23819994513086,47.45739745289931
2558,United States,Montana,Missoula,-113.92465959673333,47.03453735730995
2559,United States,Montana,Powell,-112.93461729363379,46.85686375708831
2560,United States,Montana,Petroleum,-108.24897074977707,47.117040854049854
2561,United States,Washington,Kittitas,-120.67644734599232,47.12308438238584
2562,United States,North Dakota,Foster,-98.88349774256703,47.45717727101205
2563,United States,North Dakota,Mercer,-101.83222233408324,47.30830689142914
2564,United States,Washington,Kitsap,-122.67639452902905,47.61080899087448
2565,United States,Washington,Jefferson,-123.5992935739344,47.74678489339332
2566,United States,Montana,Mineral,-114.99820970881207,47.14673675965107
2567,United States,Montana,Judith Basin,-110.26348192597447,47.04543662018722
2568,United States,Idaho,Benewah,-116.65643191302968,47.218633959805324
2569,United States,Montana,Wibaux,-104.24779443537417,46.96492341248537
2570,United States,North Dakota,Billings,-103.37796025723479,47.02358001822501
2571,United States,North Dakota,Golden Valley,-103.8471212859222,46.93897469802696
2572,United States,North Dakota,Kidder,-99.78074767950564,46.97882885621343
2573,United States,North Dakota,Stutsman,-98.95917371597326,46.97829510108044
2574,United States,North Dakota,Burleigh,-100.46887539646184,46.97610720742054
2575,United States,North Dakota,Oliver,-101.33990808386937,47.11557917112465
2576,United States,Washington,Adams,-118.56163314523072,46.98254619409749
2577,United States,Washington,Whitman,-117.52373178781993,46.89963493330177
2578,United States,Washington,Mason,-123.19734844098843,47.35072064922557
2579,United States,Washington,Pierce,-122.10079417618869,47.02247221593989
2580,United States,Montana,Prairie,-105.37592243288728,46.85965859044727
2581,United States,Washington,Thurston,-122.8302886730061,46.919899013210674
2582,United States,Idaho,Latah,-116.71036192798432,46.81757378625573
2583,United States,Washington,Yakima,-120.7367772456563,46.45524640787847
2584,United States,Montana,Meagher,-110.88471588790924,46.597139300744026
2585,United States,North Dakota,Stark,-102.65412955074596,46.8110629835291
2586,United States,North Dakota,Morton,-101.27953355356439,46.715292448839
2587,United States,Idaho,Clearwater,-115.65780595018575,46.672805804668904
2588,United States,Washington,Grays Harbor,-123.77094924615722,47.149409157500024
2589,United States,Montana,Custer,-105.57052717921634,46.25090072824808
2590,United States,Montana,Rosebud,-106.72843741419585,46.22696858890387
2591,United States,Montana,Granite,-113.43979784194246,46.403210475524176
2592,United States,Washington,Pacific,-123.70381909245037,46.55540654626457
2593,United States,Washington,Lewis,-122.39242983995959,46.57704170962788
2594,United States,Montana,Broadwater,-111.49581280642651,46.33192237413124
2595,United States,Montana,Musselshell,-108.39819206990377,46.49568790666399
2596,United States,Montana,Golden Valley,-109.1735993044754,46.3807919731902
2597,United States,Montana,Wheatland,-109.84263455261818,46.46605653722207
2598,United States,Washington,Franklin,-118.89970989184287,46.53444216277482
2599,United States,Washington,Benton,-119.51081623882524,46.23977135278603
2600,United States,North Dakota,Grant,-101.6402991059071,46.35784697117593
2601,United States,Washington,Garfield,-117.54545267719828,46.431212837025235
2602,United States,Montana,Fallon,-104.41588747800776,46.33200684322998
2603,United States,Idaho,Idaho,-115.46815922464677,45.84230613932944
2604,United States,Montana,Ravalli,-114.1212722197924,46.080034767841624
2605,United States,North Dakota,Emmons,-100.23832503567291,46.28440753504448
2606,United States,North Dakota,Logan,-99.47690445967342,46.45653441677112
2607,United States,Idaho,Nez Perce,-116.7501999868063,46.32665941108484
2608,United States,North Dakota,Slope,-103.46047540879525,46.447375454237445
2609,United States,North Dakota,Lamoure,-98.53731668962111,46.45535085346885
2610,United States,North Dakota,Hettinger,-102.46170685789704,46.43283343398487
2611,United States,Washington,Columbia,-117.9080493846994,46.29758348019167
2612,United States,Washington,Walla Walla,-118.47901914575502,46.230279725516226
2613,United States,Montana,Jefferson,-112.09386347693449,46.14850272613346
2614,United States,Montana,Yellowstone,-108.27598572850205,45.934914325356935
2615,United States,Montana,Treasure,-107.27098272126904,46.2104154466817
2616,United States,Idaho,Lewis,-116.42706372496541,46.237643335008116
2617,United States,Washington,Asotin,-117.20230801968445,46.19153642546137
2618,United States,North Dakota,Sioux,-101.04367936851553,46.11188332729718
2619,United States,Washington,Skamania,-121.91191663363351,46.02508055970804
2620,United States,Washington,Cowlitz,-122.67671901685544,46.19426370604869
2621,United States,North Dakota,Adams,-102.52901665614489,46.0962936976543
2622,United States,North Dakota,McIntosh,-99.44224498387568,46.11123745712662
2623,United States,North Dakota,Dickey,-98.50678215216466,46.10873223141269
2624,United States,North Dakota,Bowman,-103.52032786371771,46.111690316202484
2625,United States,Oregon,Multnomah,-122.49509377592909,45.612015143525134
2626,United States,Montana,Deer Lodge,-113.06902185648866,46.05980522707201
2627,United States,Montana,Sweet Grass,-109.93979619056024,45.81221604022007
2628,United States,Washington,Wahkiakum,-123.42670662398163,46.295067622587865
2629,United States,Montana,Gallatin,-111.1697060251857,45.536118172476684
2630,United States,Montana,Park,-110.52329941838481,45.485111328377045
2631,United States,Oregon,Clatsop,-123.65835439476287,45.98769902843566
2632,United States,Montana,Silver Bow,-112.6560946394617,45.90269713649286
2633,United States,Montana,Carter,-104.53651873433276,45.51469473621231
2634,United States,Montana,Stillwater,-109.39351558799271,45.66930249506143
2635,United States,Washington,Klickitat,-120.78881825267851,45.874320967528725
2636,United States,Montana,Big Horn,-107.48727273435418,45.422714172228964
2637,United States,Oregon,Columbia,-123.09258001266858,45.940009486985524
2638,United States,Oregon,Umatilla,-118.73933057883565,45.59073496712002
2639,United States,Oregon,Wallowa,-117.1798875433707,45.57891813126489
2640,United States,South Dakota,Perkins,-102.47684313059314,45.488702410069564
2641,United States,South Dakota,Corson,-101.19673180548871,45.707664016273846
2642,United States,South Dakota,Harding,-103.49747978586524,45.578846969240516
2643,United States,South Dakota,Campbell,-100.05388208871341,45.77179853514717
2644,United States,Montana,Beaverhead,-112.89485159686883,45.12971022506015
2645,United States,South Dakota,McPherson,-99.22470221561177,45.766559016733254
2646,United States,South Dakota,Brown,-98.352879686028,45.58925951282178
2647,United States,Oregon,Morrow,-119.58508646411249,45.41843248442071
2648,United States,Oregon,Union,-118.01011957229008,45.31036341163933
2649,United States,Montana,Madison,-111.91971070463642,45.29858776893686
2650,United States,Oregon,Gilliam,-120.21087019979609,45.378213440347224
2651,United States,Montana,Powder River,-105.62982876744087,45.39547462275186
2652,United States,Oregon,Washington,-123.09860632641632,45.55947336718661
2653,United States,Oregon,Sherman,-120.68825360455399,45.40549711977202
2654,United States,Oregon,Hood River,-121.65147724612952,45.52049326923857
2655,United States,Oregon,Wasco,-121.16546205267427,45.159858560586265
2656,United States,Idaho,Lemhi,-113.9296420227081,44.940684574821155
2657,United States,Oregon,Tillamook,-123.70885646817258,45.46310972852768
2658,United States,Montana,Carbon,-109.0254259077128,45.22697947042777
2659,United States,South Dakota,Walworth,-100.03268818438914,45.430295961810394
2660,United States,South Dakota,Edmunds,-99.21851450037283,45.419350947579915
2661,United States,Washington,Clark,-122.48053842435542,45.784369322042195
2662,United States,South Dakota,Dewey,-100.87224585860713,45.1555574446029
2663,United States,South Dakota,Ziebach,-101.6656874771433,44.977804089473956
2664,United States,Oregon,Clackamas,-122.22015333259549,45.187902618529144
2665,United States,Oregon,Yamhill,-123.31040319897566,45.23209922082067
2666,United States,Oregon,Marion,-122.58290524617287,44.90281393829335
2667,United States,Idaho,Adams,-116.45221506333645,44.88936477545814
2668,United States,South Dakota,Potter,-99.95845121606696,45.064831210795155
2669,United States,South Dakota,Faulk,-99.14621471794746,45.07145029732864
2670,United States,South Dakota,Spink,-98.34717242472989,44.93815803689618
2671,United States,Idaho,Valley,-115.5671890418038,44.76525140131954
2672,United States,South Dakota,Butte,-103.50838295949534,44.905075927452835
2673,United States,Oregon,Baker,-117.67420607105018,44.70908963099457
2674,United States,Oregon,Polk,-123.41454064419705,44.90274299522292
2675,United States,Oregon,Wheeler,-120.02615544708301,44.725416200440115
2676,United States,South Dakota,Meade,-102.7183913977666,44.56492043356513
2677,United States,Wyoming,Park,-109.58560347262804,44.518308713138175
2678,United States,Wyoming,Big Horn,-107.99433434447928,44.52553898981791
2679,United States,Wyoming,Campbell,-105.5488995966637,44.244106925493035
2680,United States,Wyoming,Sheridan,-106.87566447944526,44.79052277636685
2681,United States,Wyoming,Crook,-104.57039557996455,44.588813111269204
2682,United States,Oregon,Grant,-119.00736108149594,44.48922038718848
2683,United States,Oregon,Lincoln,-123.8687661537441,44.640369265544344
2684,United States,South Dakota,Sully,-100.133387927161,44.715810978397165
2685,United States,South Dakota,Hyde,-99.48682232418417,44.54726431233373
2686,United States,South Dakota,Hand,-99.00537826193322,44.54738741644587
2687,United States,Idaho,Custer,-114.27924395778754,44.23967223148681
2688,United States,Idaho,Washington,-116.78333710704096,44.4531488441737
2689,United States,Oregon,Jefferson,-121.17673237781615,44.62942733034966
2690,United States,Oregon,Linn,-122.53387505778683,44.48853268702125
2691,United States,South Dakota,Stanley,-100.73571235123626,44.41113929262283
2692,United States,Idaho,Fremont,-111.4815745503976,44.228153969645
2693,United States,South Dakota,Haakon,-101.54191712911555,44.29234887304923
2694,United States,Oregon,Benton,-123.42869849810916,44.493123471232515
2695,United States,Wyoming,Teton,-110.59011488294603,43.9316366487541
2696,United States,South Dakota,Lawrence,-103.79157745494231,44.358131665276524
2697,United States,Idaho,Clark,-112.3491628852268,44.28441212662189
2698,United States,Wyoming,Johnson,-106.58408348242835,44.03774901037594
2699,United States,Oregon,Crook,-120.35526775321884,44.14088604136027
2700,United States,South Dakota,Hughes,-99.9943070530174,44.38882939104329
2701,United States,Idaho,Gem,-116.3982990932557,44.061193457316676
2702,United States,South Dakota,Pennington,-102.82660087818871,44.002427792987476
2703,United States,Oregon,Malheur,-117.62196392643209,43.18618330057011
2704,United States,Oregon,Deschutes,-121.22599322460341,43.914173564679984
2705,United States,Idaho,Boise,-115.73159150711989,43.98854669670767
2706,United States,Oregon,Lane,-122.84631099450336,43.93754809488254
2707,United States,Idaho,Butte,-113.16989124752402,43.723341013166
2708,United States,South Dakota,Lyman,-99.84632516155627,43.89465216288338
2709,United States,South Dakota,Jerauld,-98.62970463218586,44.0671479532592
2710,United States,South Dakota,Buffalo,-99.20367071453009,44.07661334178085
2711,United States,Wyoming,Weston,-104.5686907103086,43.840443687389
2712,United States,South Dakota,Jones,-100.6909913185142,43.959656382479665
2713,United States,Wyoming,Washakie,-107.68093650628474,43.903092788808024
2714,United States,Idaho,Payette,-116.75877033614279,44.00780759609124
2715,United States,Idaho,Elmore,-115.4697225278754,43.35293032144799
2716,United States,Wyoming,Hot Springs,-108.44120932646685,43.71834398161329
2717,United States,Idaho,Jefferson,-112.30878585836395,43.82033705878922
2718,United States,Oregon,Harney,-118.96702536245532,43.05767490114041
2719,United States,Wyoming,Fremont,-108.62560101636552,43.0371389475489
2720,United States,South Dakota,Jackson,-101.63181597740727,43.69286333938206
2721,United States,Idaho,Blaine,-113.97519406542239,43.40928152193499
2722,United States,Idaho,Teton,-111.20698155109326,43.760063828574005
2723,United States,Oregon,Douglas,-123.16480117273287,43.27727224185703
2724,United States,South Dakota,Aurora,-98.56244820326903,43.718244690693695
2725,United States,South Dakota,Brule,-99.08059317767515,43.71836347828265
2726,United States,Idaho,Madison,-111.65637015139964,43.78471972756494
2727,United States,Idaho,Canyon,-116.70622114104769,43.625758349971115
2728,United States,South Dakota,Mellette,-100.76158630305206,43.58032042831056
2729,United States,Idaho,Camas,-114.80629930780711,43.46361263652904
2730,United States,South Dakota,Custer,-103.45262580261814,43.67645146218563
2731,United States,South Dakota,Davison,-98.1450014271318,43.67460731922636
2732,United States,Idaho,Ada,-116.23999681159093,43.44977854475461
2733,United States,South Dakota,Tripp,-99.88365678822727,43.34398823423396
2734,United States,South Dakota,Shannon,-102.55318158335314,43.33427425712016
2735,United States,Idaho,Owyhee,-116.1679491030953,42.579346461636256
2736,United States,Idaho,Bonneville,-111.61387600606798,43.38824212416525
2737,United States,Idaho,Bingham,-112.39864146671248,43.21680366085784
2738,United States,Oregon,Klamath,-121.64852085081145,42.684784241293485
2739,United States,Oregon,Lake,-120.38359404459271,42.78683255304623
2740,United States,Wyoming,Niobrara,-104.47606862435947,43.05592752409093
2741,United States,Wyoming,Converse,-105.50688698234994,42.96979255743331
2742,United States,South Dakota,Charles Mix,-98.58665339362486,43.20652410014209
2743,United States,Wyoming,Natrona,-106.79552677430557,42.96068924391241
2744,United States,South Dakota,Douglas,-98.36644341104736,43.38683893840034
2745,United States,South Dakota,Gregory,-99.1848216714698,43.191989226098954
2746,United States,South Dakota,Fall River,-103.52645071093373,43.23830488970462
2747,United States,Wyoming,Sublette,-109.91415629475543,42.76588877095659
2748,United States,Oregon,Coos,-124.0573000577154,43.170406050733845
2749,United States,South Dakota,Bennett,-101.66562905562787,43.19360270264317
2750,United States,South Dakota,Todd,-100.71885366135601,43.1910807868486
2751,United States,Wyoming,Lincoln,-110.6535910669839,42.25754804157855
2752,United States,Idaho,Lincoln,-114.13874129794793,43.00144685134243
2753,United States,Idaho,Gooding,-114.81020587879169,42.97123388878902
2754,United States,Idaho,Minidoka,-113.63734618839486,42.853367746049706
2755,United States,Idaho,Power,-112.83958671943915,42.69382734598772
2756,United States,Idaho,Bannock,-112.2236294339549,42.669735308151104
2757,United States,Idaho,Caribou,-111.56219725347948,42.77114890109881
2758,United States,Nebraska,Sioux,-103.7577651350016,42.48701839870482
2759,United States,Nebraska,Sheridan,-102.40906177902718,42.502500966990006
2760,United States,Nebraska,Dawes,-103.13427397159067,42.71940524928484
2761,United States,Nebraska,Boyd,-98.76747807145566,42.89966841111123
2762,United States,Nebraska,Keya Paha,-99.71159954072291,42.878940281968816
2763,United States,Nebraska,Cherry,-101.1187145290366,42.54274923912809
2764,United States,Oregon,Jackson,-122.72826423566768,42.43032702469949
2765,United States,Idaho,Twin Falls,-114.6665148821074,42.35544355820121
2766,United States,Nebraska,Holt,-98.78227119654436,42.45420795352661
2767,United States,Oregon,Curry,-124.15541055165225,42.45601691709828
2768,United States,Idaho,Jerome,-114.26277034432121,42.68996650694063
2769,United States,Nebraska,Brown,-99.92917177080008,42.43033380241286
2770,United States,Nebraska,Rock,-99.44899906962196,42.421345360366395
2771,United States,Oregon,Josephine,-123.55395303269998,42.364020838933406
2772,United States,Idaho,Cassia,-113.60152688479549,42.283719848583736
2773,United States,Wyoming,Goshen,-104.3524156323527,42.08728619465757
2774,United States,Wyoming,Platte,-104.96430354192354,42.13052260458125
2775,United States,Idaho,Bear Lake,-111.32859285054411,42.28435728957359
2776,United States,Idaho,Oneida,-112.54127241209942,42.195394957192114
2777,United States,Nebraska,Box Butte,-103.08579440843087,42.21991247941437
2778,United States,Wyoming,Carbon,-106.93163916610487,41.691522089526345
2779,United States,Wyoming,Albany,-105.7236342711485,41.65217806607227
2780,United States,Idaho,Franklin,-111.81454660410239,42.18266007646093
2781,United States,Wyoming,Sweetwater,-108.87882743440828,41.65734736154403
2782,United States,Nebraska,Grant,-101.73971214245111,41.91516612283055
2783,United States,Nebraska,Hooker,-101.13422916629922,41.91639168889563
2784,United States,Nebraska,Thomas,-100.55542621654963,41.914295242436516
2785,United States,Nebraska,Wheeler,-98.52800133270298,41.91444197300948
